DateTime,Average USD,Sales USD
2019-02-02 0:00,9.05,37252.79
2019-02-03 0:00,8.61,40623.33
2019-02-04 0:00,9.48,30452.99
2019-02-05 0:00,18.62,56023.89
2019-02-06 0:00,21.43,52084.96
2019-02-07 0:00,12.72,35014.9
2019-02-08 0:00,8.91,28042.47
2019-02-09 0:00,4.52,26149.09
2019-02-10 0:00,9.39,53750.82
2019-02-11 0:00,9.68,44026.66
2019-02-12 0:00,7.34,27897.65
2019-02-13 0:00,7.09,26555.59
2019-02-14 0:00,6.83,31208.85
2019-02-15 0:00,9.61,35094.15
2019-02-16 0:00,4.63,29527.71
2019-02-17 0:00,11.76,59094.31
2019-02-18 0:00,8.73,38990.82
2019-02-19 0:00,21.37,59144.19
2019-02-20 0:00,14.89,54947.76
2019-02-21 0:00,16.19,57028.22
2019-02-22 0:00,9.79,41658.38
2019-02-23 0:00,7.34,35640.29
2019-02-24 0:00,9.03,35013.44
2019-02-25 0:00,9.45,39081.85
2019-02-26 0:00,13.28,60519.48
2019-02-27 0:00,19.49,55291.77
2019-02-28 0:00,15.07,35892.48
2019-03-01 0:00,16.86,62332.87
2019-03-02 0:00,17.33,94733.76
2019-03-03 0:00,8.6,59448.99
2019-03-04 0:00,16.84,89006.8
2019-03-05 0:00,20.09,96332.14
2019-03-06 0:00,14.19,71424.63
2019-03-07 0:00,10.63,59912.32
2019-03-08 0:00,11.74,76918.75
2019-03-09 0:00,11.37,70387.45
2019-03-10 0:00,16.18,81015.06
2019-03-11 0:00,12.71,51353.98
2019-03-12 0:00,24.27,108759.27
2019-03-13 0:00,15.59,61661.54
2019-03-14 0:00,18.76,72893.83
2019-03-15 0:00,15.37,70191.24
2019-03-16 0:00,8.48,62517.57
2019-03-17 0:00,12.75,84001.88
2019-03-18 0:00,12.46,53873.09
2019-03-19 0:00,12.83,58110.25
2019-03-20 0:00,13.44,62992.39
2019-03-21 0:00,11.57,51177.4
2019-03-22 0:00,11.07,53563.17
2019-03-23 0:00,13.07,77776.15
2019-03-24 0:00,14.61,90443.42
2019-03-25 0:00,12.27,63359.12
2019-03-26 0:00,16.88,81223.64
2019-03-27 0:00,11.58,51165.78
2019-03-28 0:00,27.8,111607.84
2019-03-29 0:00,4.23,112520.04
2019-03-30 0:00,7.43,70011.93
2019-03-31 0:00,7.16,76875.4
2019-04-01 0:00,12.28,98056.82
2019-04-02 0:00,22.15,118966.32
2019-04-03 0:00,16.45,69667.64
2019-04-04 0:00,24.27,91845.66
2019-04-05 0:00,20.77,75579.25
2019-04-06 0:00,13.23,56276.19
2019-04-07 0:00,16.14,67011.37
2019-04-08 0:00,22.86,75794.89
2019-04-09 0:00,19.28,66185.77
2019-04-10 0:00,15.39,54286.03
2019-04-11 0:00,20.46,62661.02
2019-04-12 0:00,20.33,74926.41
2019-04-13 0:00,9.5,62086.15
2019-04-14 0:00,6.55,47297.39
2019-04-15 0:00,26.37,98294.12
2019-04-16 0:00,15.55,60530.04
2019-04-17 0:00,9.6,41273.15
2019-04-18 0:00,10.61,46816.64
2019-04-19 0:00,10.47,52455.78
2019-04-20 0:00,9.95,45813.69
2019-04-21 0:00,13.14,59720
2019-04-22 0:00,10.78,42484.39
2019-04-23 0:00,13.13,49494.78
2019-04-24 0:00,26.73,101512.37
2019-04-25 0:00,12.62,45335.86
2019-04-26 0:00,15.8,50564.15
2019-04-27 0:00,16.8,76930.08
2019-04-28 0:00,10.38,46977.28
2019-04-29 0:00,10.63,40232.48
2019-04-30 0:00,54.64,205974.99
2019-05-01 0:00,8.58,44407.39
2019-05-02 0:00,14.43,69418.69
2019-05-03 0:00,12.09,49957.25
2019-05-04 0:00,9.05,44270.24
2019-05-05 0:00,12.75,56233.13
2019-05-06 0:00,10.7,38879
2019-05-07 0:00,16.69,38103.22
2019-05-08 0:00,13.17,53913.25
2019-05-09 0:00,10.22,42160.63
2019-05-10 0:00,16.44,89259.49
2019-05-11 0:00,6.84,49950.8
2019-05-12 0:00,11.58,63253.73
2019-05-13 0:00,15.61,72712.7
2019-05-14 0:00,10.36,40126.59
2019-05-15 0:00,29.22,70477.62
2019-05-16 0:00,21.92,48139.21
2019-05-17 0:00,38.18,91441.01
2019-05-18 0:00,19.57,50592.81
2019-05-19 0:00,14.26,45598.53
2019-05-20 0:00,21.02,63580.29
2019-05-21 0:00,27.35,80170.47
2019-05-22 0:00,20.83,61979.18
2019-05-23 0:00,21.97,58452.79
2019-05-24 0:00,38.49,135380.66
2019-05-25 0:00,16.66,79548.29
2019-05-26 0:00,14.97,71205.75
2019-05-27 0:00,41.68,186264.71
2019-05-28 0:00,19.04,98861.3
2019-05-29 0:00,14.64,69019.11
2019-05-30 0:00,11.3,65627.51
2019-05-31 0:00,18.54,85871.58
2019-06-01 0:00,16.76,48543.77
