DateTime,Number of sales,Active market wallets
2018-10-24 0:00,4212,841
2018-10-25 0:00,3525,848
2018-10-26 0:00,4508,804
2018-10-27 0:00,5350,828
2018-10-28 0:00,4256,808
2018-10-29 0:00,4236,820
2018-10-30 0:00,3756,832
2018-10-31 0:00,3691,849
2018-11-01 0:00,3895,933
2018-11-02 0:00,3786,908
2018-11-03 0:00,4554,773
2018-11-04 0:00,4491,865
2018-11-05 0:00,4326,875
2018-11-06 0:00,3634,844
2018-11-07 0:00,5216,828
2018-11-08 0:00,3654,900
2018-11-09 0:00,3447,914
2018-11-10 0:00,4024,828
2018-11-11 0:00,3996,800
2018-11-12 0:00,3912,873
2018-11-13 0:00,5214,978
2018-11-14 0:00,5302,939
2018-11-15 0:00,10235,957
2018-11-16 0:00,6394,919
2018-11-17 0:00,4801,861
2018-11-18 0:00,4537,831
2018-11-19 0:00,3934,790
2018-11-20 0:00,4021,821
2018-11-21 0:00,6145,887
2018-11-22 0:00,6607,889
2018-11-23 0:00,4507,829
2018-11-24 0:00,4526,861
2018-11-25 0:00,5113,761
2018-11-26 0:00,5725,941
2018-11-27 0:00,6169,892
2018-11-28 0:00,5115,885
2018-11-29 0:00,4431,852
2018-11-30 0:00,5920,976
2018-12-01 0:00,10711,955
2018-12-02 0:00,7508,880
2018-12-03 0:00,7094,866
2018-12-04 0:00,6366,855
2018-12-05 0:00,13552,2652
2018-12-06 0:00,5511,916
2018-12-07 0:00,6347,959
2018-12-08 0:00,4413,1088
2018-12-09 0:00,4385,896
2018-12-10 0:00,3090,858
2018-12-11 0:00,3468,797
2018-12-12 0:00,3861,802
2018-12-13 0:00,5441,861
2018-12-14 0:00,4729,858
2018-12-15 0:00,6231,925
2018-12-16 0:00,6051,954
2018-12-17 0:00,4713,827
2018-12-18 0:00,3666,875
2018-12-19 0:00,4034,899
2018-12-20 0:00,4896,924
2018-12-21 0:00,6954,987
2018-12-22 0:00,3745,943
2018-12-23 0:00,7151,1161
2018-12-24 0:00,3959,826
2018-12-25 0:00,3118,762
2018-12-26 0:00,2911,786
2018-12-27 0:00,2832,807
2018-12-28 0:00,3185,901
2018-12-29 0:00,3060,794
2018-12-30 0:00,3033,732
2018-12-31 0:00,3362,782
2019-01-01 0:00,2428,757
2019-01-02 0:00,2629,779
2019-01-03 0:00,2675,878
2019-01-04 0:00,2722,899
2019-01-05 0:00,2772,793
2019-01-06 0:00,2715,818
2019-01-07 0:00,3151,752
2019-01-08 0:00,2333,815
2019-01-09 0:00,2382,811
2019-01-10 0:00,3445,885
2019-01-11 0:00,8385,1201
2019-01-12 0:00,5806,982
2019-01-13 0:00,5425,995
2019-01-14 0:00,4553,921
2019-01-15 0:00,4159,936
2019-01-16 0:00,4392,940
2019-01-17 0:00,3709,958
2019-01-18 0:00,4561,907
2019-01-19 0:00,4197,967
2019-01-20 0:00,4663,947
2019-01-21 0:00,4298,945
2019-01-22 0:00,2423,841
2019-01-23 0:00,3016,981
2019-01-24 0:00,3806,923
2019-01-25 0:00,3241,994
2019-01-26 0:00,7130,1053
2019-01-27 0:00,6767,1041
2019-01-28 0:00,4817,1234
2019-01-29 0:00,3231,1035
2019-01-30 0:00,3326,989
2019-01-31 0:00,2981,858
2019-02-01 0:00,3765,1049
2019-02-02 0:00,4115,948
2019-02-03 0:00,4718,1042
2019-02-04 0:00,3211,1002
2019-02-05 0:00,3009,987
2019-02-06 0:00,2430,942
2019-02-07 0:00,2752,1019
2019-02-08 0:00,3146,920
2019-02-09 0:00,5790,1099
2019-02-10 0:00,5726,1027
2019-02-11 0:00,4550,859
2019-02-12 0:00,3800,932
2019-02-13 0:00,3745,968
2019-02-14 0:00,4568,1013
2019-02-15 0:00,3652,1020
2019-02-16 0:00,6375,1171
2019-02-17 0:00,5026,1098
2019-02-18 0:00,4467,1043
2019-02-19 0:00,2768,921
2019-02-20 0:00,3690,1042
2019-02-21 0:00,3523,966
2019-02-22 0:00,4255,851
2019-02-23 0:00,4854,973
2019-02-24 0:00,3878,839
2019-02-25 0:00,4134,710
2019-02-26 0:00,4557,864
2019-02-27 0:00,2837,921
2019-02-28 0:00,2382,813
2019-03-01 0:00,3696,1082
2019-03-02 0:00,5466,1205
2019-03-03 0:00,6910,1122
2019-03-04 0:00,5284,1091
2019-03-05 0:00,4795,1135
2019-03-06 0:00,5035,1117
2019-03-07 0:00,5637,1103
2019-03-08 0:00,6552,1173
2019-03-09 0:00,6188,1107
2019-03-10 0:00,5006,1109
2019-03-11 0:00,4040,1060
2019-03-12 0:00,4481,1159
2019-03-13 0:00,3955,1062
2019-03-14 0:00,3885,1044
2019-03-15 0:00,4568,1074
2019-03-16 0:00,7369,1119
2019-03-17 0:00,6586,1103
2019-03-18 0:00,4325,1033
2019-03-19 0:00,4530,1076
2019-03-20 0:00,4687,1123
2019-03-21 0:00,4423,1139
2019-03-22 0:00,4840,1260
2019-03-23 0:00,5952,1197
2019-03-24 0:00,6189,1174
2019-03-25 0:00,5165,1278
2019-03-26 0:00,4813,1264
2019-03-27 0:00,4420,1224
2019-03-28 0:00,4015,1281
2019-03-29 0:00,26599,1427
2019-03-30 0:00,9419,1374
2019-03-31 0:00,10738,1277
2019-04-01 0:00,7983,1275
2019-04-02 0:00,5371,1247
2019-04-03 0:00,4234,928
2019-04-04 0:00,3785,1091
2019-04-05 0:00,3638,1117
2019-04-06 0:00,4254,1013
2019-04-07 0:00,4152,1097
2019-04-08 0:00,3315,1092
2019-04-09 0:00,3432,1075
2019-04-10 0:00,3527,1005
2019-04-11 0:00,3063,1031
2019-04-12 0:00,3685,1118
2019-04-13 0:00,6534,1092
2019-04-14 0:00,7224,1029
2019-04-15 0:00,3727,936
2019-04-16 0:00,3892,992
2019-04-17 0:00,4298,1068
2019-04-18 0:00,4414,1073
2019-04-19 0:00,5011,1052
2019-04-20 0:00,4603,1004
2019-04-21 0:00,4545,1043
2019-04-22 0:00,3941,952
2019-04-23 0:00,3769,969
2019-04-24 0:00,3797,1059
2019-04-25 0:00,3592,1007
2019-04-26 0:00,3200,932
2019-04-27 0:00,4580,995
2019-04-28 0:00,4525,1056
2019-04-29 0:00,3785,940
2019-04-30 0:00,3770,1044
2019-05-01 0:00,5175,1150
2019-05-02 0:00,4812,1064
2019-05-03 0:00,4133,997
2019-05-04 0:00,4891,1097
2019-05-05 0:00,4412,1144
2019-05-06 0:00,3635,1044
2019-05-07 0:00,2283,941
2019-05-08 0:00,4095,1132
2019-05-09 0:00,4124,1170
2019-05-10 0:00,5430,1204
2019-05-11 0:00,7299,1179
2019-05-12 0:00,5464,1075
2019-05-13 0:00,4657,1087
2019-05-14 0:00,3875,1152
2019-05-15 0:00,2412,980
2019-05-16 0:00,2196,844
2019-05-17 0:00,2395,858
2019-05-18 0:00,2585,988
2019-05-19 0:00,3198,1104
2019-05-20 0:00,3025,1030
2019-05-21 0:00,2931,1104
2019-05-22 0:00,2976,1052
2019-05-23 0:00,2661,1061
2019-05-24 0:00,3517,1152
2019-05-25 0:00,4776,1146
2019-05-26 0:00,4756,1306
2019-05-27 0:00,4469,1455
2019-05-28 0:00,5193,1095
2019-05-29 0:00,4716,1075
2019-05-30 0:00,5809,1231
2019-05-31 0:00,4632,1124
2019-06-01 0:00,2897,1024
2019-06-02 0:00,2980,1123
2019-06-03 0:00,2928,1230
2019-06-04 0:00,2469,987
2019-06-05 0:00,3204,1085
2019-06-06 0:00,2701,903
2019-06-07 0:00,3759,1241
2019-06-08 0:00,3104,879
2019-06-09 0:00,4772,1197
2019-06-10 0:00,3021,955
2019-06-11 0:00,3572,1070
2019-06-12 0:00,3811,1126
2019-06-13 0:00,4263,1277
2019-06-14 0:00,3360,1074
2019-06-15 0:00,3369,1021
2019-06-16 0:00,4063,1052
2019-06-17 0:00,3024,881
